data_medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
06/05/00;null;null;null;null;null;null;null;null;null;null
07/05/00;null;null;null;null;null;null;49,2;36;6,3;null
08/05/00;0;888,1;13,5;28,2;22,1;16,5;60,3;33;7,1;2,1
09/05/00;0;888,1;13,3;28,7;22,1;16,6;58,8;37;7;1,2
10/05/00;0;889;14,4;28,9;22,4;17,7;62,1;35;6,3;2,1
11/05/00;0;888,5;13,5;27,3;21,3;16,6;62,4;35;7,3;2,7
12/05/00;0;888,3;13,2;26,5;20,1;15,2;65,4;42;7,3;3
13/05/00;0;888,8;12,3;24,7;18,9;13,7;67;43;7,8;3,1
14/05/00;0;888,7;10,5;25;18,7;13,7;61,5;34;8,8;3,1
15/05/00;0;887,3;10,3;26,3;19;11,8;59,6;28;7,8;1,9
16/05/00;0;886,4;10,5;26,7;19,8;13,8;57,2;29;6,4;1,7
17/05/00;0;887;10,8;27,1;20,1;14;57;32;8,7;1,6
18/05/00;0;886,7;13,6;26;19,9;15,8;68,3;48;5,9;2,1
19/05/00;0;887,6;12,1;26,4;null;13,8;68,6;43;5,9;1,7
20/05/00;null;null;null;null;null;null;null;null;null;null
21/05/00;null;null;null;null;null;null;null;null;null;null
22/05/00;null;null;null;null;null;null;null;45;7,6;null
23/05/00;null;891,5;13,6;25,8;20;14,8;68,2;40;8,4;3,1
24/05/00;0;890,9;11,6;24,5;19;14,7;64;36;8,6;3,5
25/05/00;0;889,6;9,8;24,9;17,8;11,8;62;31;9,1;2,9
26/05/00;0;889;9,2;26,4;19,3;12,2;55,5;29;7,5;1,7
27/05/00;0;887,6;8,5;26,8;19,9;12,2;50,5;26;5,3;1,4
28/05/00;0;886,4;9,4;27,1;20,2;13,7;51,4;30;6,5;1
29/05/00;0;885,7;12,6;26,3;20,4;14;62,8;35;5;1,4
30/05/00;0;887;10,4;28;21;14,1;55;20;7,3;1,1
31/05/00;0;886,7;11,2;27,6;21;14,6;55,8;30;5,4;1,1
01/06/00;0;null;null;26,8;null;15,3;60;35;5,8;null
02/06/00;null;null;null;null;null;null;null;33;6,6;null
03/06/00;0;890;11,8;27;20,8;14,6;59,2;30;9,4;2,6
04/06/00;0;891,2;12,3;25,4;19,7;15;64,3;37;9,4;3,5
05/06/00;0;891;11,8;24;18,6;13,3;66,5;42;8,8;3,4
06/06/00;0;891,6;11,7;24,3;18;12,7;68,3;43;12,2;2,8
07/06/00;0;890,9;11,3;23,8;17,9;13,1;66,8;43;8,4;3,2
08/06/00;0;890,8;11,1;24,8;18,5;13,2;63,8;40;7,4;2,7
09/06/00;0;890,5;11,3;25;18,8;13,2;63,8;34;8,4;2,3
10/06/00;0;890,1;9,7;25,2;19,2;13,7;56,7;30;8,9;2,5
11/06/00;0;889,5;8,2;null;18,5;null;53,8;null;null;1,6
12/06/00;0;888,8;8,9;null;18,7;null;54,8;null;null;1,6
13/06/00;0;888,1;11;26;19,6;null;59,3;37;6,8;1,7
14/06/00;0;888,2;12,5;26,4;20,6;15,3;61,7;36;7,8;2,4
15/06/00;0;888,7;11,3;25,1;19,8;15,6;59,7;36;9,2;3,7
16/06/00;0;888,8;9,9;24,7;18,6;14;59,1;30;9,6;3,3
17/06/00;0;888,6;7,9;24,2;18,2;12;53,5;29;10,1;2,8
18/06/00;0;888,4;8,8;25,9;18,5;12,2;56,1;30;7,5;1,9
19/06/00;0;889,1;9,8;26,9;19,5;12,2;57;30;5,9;1,4
20/06/00;0;888,5;10,3;27,7;20,5;13,4;54,9;29;6,3;1,6
21/06/00;0;889,3;12,6;26,1;19,8;14,3;64,8;41;8,6;2,5
22/06/00;0;889,3;11,8;25,5;18,5;13,1;68,8;30;7,2;2,5
23/06/00;0;889,3;10,7;26,1;19,5;13,2;58,6;36;9,1;3
24/06/00;0;889,5;11,6;25,8;19,4;13,3;62,4;38;8,3;3
25/06/00;0;889,2;8,1;25,9;19,5;13;50,8;27;6,9;2,7
26/06/00;0;888,8;4,9;27;19,4;11,4;42,6;16;6,9;2
27/06/00;0;888,8;3,1;26,2;19,3;12,8;36,7;17;7,2;1,6
28/06/00;0;888,1;5,2;26,7;19,4;12,4;41,4;23;12,2;2,6
29/06/00;0;887,9;8,4;26,5;20,3;13,7;47,2;30;7,4;2,9
30/06/00;0;888,7;8,6;26,7;20,3;13;49,6;27;7,3;1,8
01/07/00;0;888,1;7,6;27,7;20,7;13,2;44;27;8,3;2,5
02/07/00;0;888,4;10,9;25,5;20,1;16;56,7;34;7,1;2,7
03/07/00;0;890;10,8;25,9;19,4;14;59,4;34;10;2,7
04/07/00;0;890,4;10,2;22,3;17,6;13,5;63,2;41;11,6;3,9
05/07/00;0;889,6;9,2;22,4;17;12,7;60,9;41;13,4;5
06/07/00;0;889,4;11;21,1;16,4;12,1;71;53;9,1;3,6
07/07/00;0;889,6;11,8;23,1;17,9;14,2;68,7;44;10;3,4
08/07/00;0;888,9;11,2;25,1;18,7;12,6;63,4;39;8,6;2,9
09/07/00;0;888,4;10,9;25;19,1;13;61;36;8,1;3
10/07/00;0;887,9;10,2;25,3;19,2;14,5;58;34;10,3;3,2
11/07/00;0;888,9;10,5;26,6;19,6;12,2;57,8;33;20,8;1,7
12/07/00;0;889,9;12,1;24,9;19,6;14,8;62,5;46;6,6;2
13/07/00;0;891,1;11,3;23,6;16,7;11,9;71,8;47;8,1;3,1
14/07/00;0;890;10,7;25;18,2;12,3;64,4;35;9;3,1
15/07/00;0;888,8;11,6;25,6;19,2;13,6;63,4;40;7,9;2,5
16/07/00;0;887,2;11,7;24,6;19,5;15,1;61,7;42;9,5;2,7
17/07/00;0;887,3;2;23,7;15,3;9,2;46,1;14;8,3;2,5
18/07/00;0;887,7;0,4;27,5;17,1;8,4;37,3;13;9,1;1,4
19/07/00;0;888,5;1,1;27,4;19,4;10,3;31;16;7,1;2
20/07/00;0;887,5;4,7;27,7;19,7;13,1;38,8;19;9,2;2
21/07/00;0;886,3;7,4;28,9;21,1;13,6;44;22;9,3;2,2
22/07/00;0;887,1;11,4;29,1;22;16,3;52,7;32;8,9;2,4
23/07/00;0;887,9;13,3;28,6;21,5;16,4;62;34;11,1;3,1
24/07/00;0;887,8;13,1;24,1;17,2;12,2;78,8;51;7,9;2,1
25/07/00;0;888,4;13;28,7;20,7;12,6;65;31;7,3;1,7
26/07/00;0,2;889;14,6;27,1;21,2;16,9;67,3;41;7,4;2,7
27/07/00;0;889,1;13,7;26,9;21,2;16,4;64,3;39;9,4;3,3
28/07/00;0;889,7;10,5;25,7;19,8;14,7;58;27;10,2;3,2
29/07/00;0;888,3;8,5;24,5;18,4;12,2;54,7;30;8,4;2,3
30/07/00;0;887,8;6,2;26,8;19,4;11,7;45;22;8,9;2,4
31/07/00;0;888,2;4,2;26,4;19,5;13,2;39,7;15;7,1;2,5
01/08/00;0;888,6;5,1;25,2;18,6;12,9;42;24;7,7;3,1
02/08/00;0;889,2;6,8;26,8;19;13,3;48;18;7,5;2,7
03/08/00;0;888,9;8,2;27,6;20,5;14,3;47,7;23;7,3;2,4
04/08/00;0;888,3;8,5;28,5;21,7;15,3;44,6;23;6,7;1,8
05/08/00;0;888,8;10,4;26,3;21,3;17,5;50,5;36;9,4;4
06/08/00;0;889,8;10,2;26,1;19,8;14,7;55,8;32;9,3;3,5
07/08/00;0;889,4;5,7;27,9;20,8;13,9;40,5;19;11,2;2,5
08/08/00;0;889,2;3,7;27,8;21,3;13,7;33;18;8,8;2,6
09/08/00;0;889,1;5,4;28,6;21,4;14,7;36,5;18;7,5;2
10/08/00;0;890;8,7;29,5;22,7;15,2;42,9;26;5,5;1,3
11/08/00;0;889,6;10,2;29,4;23,8;17,3;44,4;27;6,2;1,7
12/08/00;0;888,6;10,2;29,1;22,5;16,6;48;28;6,9;2,4
13/08/00;0;888,9;11,5;27,7;21,5;16,1;54;35;9,4;3,3
14/08/00;0;890,2;11,5;28,1;21,4;16,5;56,2;29;8,6;3,5
15/08/00;0;890,6;8;27;20,6;14,9;46,5;25;7,8;3
16/08/00;0;889,5;5,5;28,1;20,9;13,8;39,8;19;10,6;3,1
17/08/00;0;889,6;5,9;26,6;20,9;16,4;39;21;9,8;3,8
18/08/00;0;889,5;6,6;27,8;21,1;14,1;40,4;25;8,2;2,1
19/08/00;0;889;6,9;28;21,7;14,2;40,5;22;7,4;2,2
20/08/00;0;890,1;6,6;27,4;21,8;16,1;38,5;25;9;3,2
21/08/00;0;890,3;6,5;26,6;20,8;16,2;40,4;21;8,8;3,7
22/08/00;0;889,4;6,6;27,4;21,3;16,2;40;23;8,4;2,7
23/08/00;0;888,2;6,3;28,6;21,8;15;38,5;22;7,3;2,3
24/08/00;0;888;8,1;28,5;22,4;14,8;41;25;6,7;2
25/08/00;0;887,4;8,2;30,2;24,3;19,3;36,9;23;9,4;2,9
26/08/00;0;886;7,2;32,6;26;19,5;31,7;17;8,1;1,8
27/08/00;0;884,5;9,4;30,7;25;19,1;38;25;7,8;1,8
28/08/00;0;883,5;12,4;31;24,9;20,5;47,2;27;13;3,5
29/08/00;25,2;887,4;15,3;24,7;16,3;15,7;94,1;51;11,2;3,5
30/08/00;27,4;888,5;14,5;24,2;18,2;14,6;80;58;7,7;3,3
31/08/00;0;887,7;14,9;28,1;21,7;16,2;67,5;40;8,4;3,2
01/09/00;0;886,6;15,9;29,2;21,4;18,2;73,9;35;8,4;null
02/09/00;null;null;null;null;null;18,4;null;75;null;null
03/09/00;null;null;null;null;null;null;null;null;null;null
04/09/00;null;null;null;null;null;null;null;54;5,9;null
05/09/00;null;887,1;14,9;26,8;20;15,9;74,3;43;8,2;3,1
06/09/00;0;885,9;15,6;25,8;20,7;16,4;73,5;52;11,9;3,4
07/09/00;6,8;885,8;15,8;26,1;19;16,1;83,1;49;8,4;2,2
08/09/00;9,6;885,8;16,3;23,1;19,2;16,9;83,8;64;7,9;3
09/09/00;0;886,2;15,9;27;19,9;16,5;79,4;48;7,4;2,3
10/09/00;23,4;887;16,3;26,9;19,6;16,2;83;48;8,4;2,6
11/09/00;1,6;886;15,4;27,8;22,8;18,7;64,8;42;9,6;2,8
12/09/00;0;885,8;14,1;28,4;23,2;19,1;57,5;38;8,3;2,8
13/09/00;0;887,4;15,6;28,4;null;19,3;67,6;41;9;2,1
14/09/00;null;888,4;15,7;26,9;21,1;17,2;73,2;45;10,5;2,6
15/09/00;0,6;888;15,9;27,2;22,1;18,4;69;47;8,6;2,4
16/09/00;0;888;15;28,8;23,2;19,3;61,9;37;8,5;2,3
17/09/00;0;888,4;13,5;28,8;23,7;18,8;54,2;34;8,6;3,1
18/09/00;0;889,2;12,3;28,3;23,1;18,3;52,1;32;10,5;4,6
19/09/00;0;889,6;11,3;27,8;22,4;17,1;51,2;32;10,8;4,6
20/09/00;0;888,9;10,6;27,5;21,8;16,4;50;29;11,2;4,3
21/09/00;0;888,1;9,1;27,3;22;16,7;45,5;27;10,6;3,3
22/09/00;0;888,5;7,8;28,2;21,9;15,1;42,1;24;8;2,1
23/09/00;0;886,7;6,7;28,6;23;16,9;37;22;8,6;2,9
24/09/00;0;885,9;6,1;29,7;22,7;14,8;36,1;19;7;2
25/09/00;0;886,3;8,1;31,4;24,3;17,8;37,7;18;8;1,6
26/09/00;0;888;13,5;30;22,9;16,6;60,2;27;10,5;3,5
27/09/00;8;890;14,5;24,9;17,2;15;84,8;44;12;4,1
28/09/00;0;889,8;13,6;23,9;18,8;15,1;73,2;46;11,4;4,6
29/09/00;0;889,2;11,8;26,5;20,3;14,8;61,1;32;9,9;4,2
30/09/00;0;888,8;10,3;27,2;21,9;16,7;48,7;31;10,8;3,5
01/10/00;0;888,6;11,5;27,9;22,2;16,6;52,3;31;8,7;2,5
02/10/00;0;888,5;13;26,9;21,8;18,4;58,1;38;6,1;1,8
03/10/00;0;886,7;12,5;30,2;23,1;15,7;54,5;29;6,7;1,7
04/10/00;0,2;886,4;14,9;28,3;23,3;18,5;60,1;38;9,2;2,1
05/10/00;0;886;14,9;28,3;23;19,2;61,9;39;8,9;2,1
06/10/00;0;886,1;15,1;29,3;21,7;16,6;69,3;37;13,6;2,6
07/10/00;37;887,1;15,7;26,9;21,2;16,2;73,3;42;9,5;2,6
08/10/00;0;887,4;16;27,8;23;18,8;66;42;6,6;2,5
09/10/00;0;888,3;14,4;28,5;23,4;19,4;59;35;10,3;3,3
10/10/00;0;887,8;13,2;29,6;23,9;18,6;53,7;28;8,5;3,5
11/10/00;0;887,3;10,1;30;24,6;19,3;43,7;19;8,9;2,5
12/10/00;0;887,1;8,3;30,8;24,5;17,5;37,3;21;8;2,2
13/10/00;0;888,4;8,7;30,7;25,1;18,2;37,1;19;12,4;2,3
14/10/00;0;888,8;7,8;30,8;24,8;17,7;36,1;19;9,6;2,2
15/10/00;0;888;7,6;31,1;24,8;17,3;34,6;19;11,6;3,3
16/10/00;0;888,6;10,5;29,3;24,2;19,6;42,9;29;10,1;3,8
17/10/00;0;889,5;9,5;28,4;23,5;18,1;42,3;25;9,1;3,5
18/10/00;0;890;8,5;29,4;24,3;19,3;37,5;24;10,7;3
19/10/00;0;888,1;6,5;31,1;25,1;18;31,3;19;10,6;2,8
20/10/00;0;886,4;9,9;32,2;25,5;18,7;39,7;19;6,7;1,5
21/10/00;0;884,5;9,9;31,8;25,7;19,7;37,9;24;9,3;2,4
22/10/00;0;883,8;12,7;31,9;24;18,7;51,9;27;10,6;2
23/10/00;5,2;885,8;14,5;30,3;22,9;17,6;62,7;30;9,8;2,6
24/10/00;0;885,9;15,3;29,3;22,2;18,1;67,3;35;8,5;1,9
25/10/00;0;885,4;13,1;31;23,8;17,5;54,3;26;9,6;1,7
26/10/00;0;885,4;12,9;30,2;24,7;19,5;50,1;29;9,5;2,7
27/10/00;0;885,3;10,7;31,2;25,6;20,3;40,3;26;9,4;2,4
28/10/00;0;885,5;17;29,1;21,9;18,3;76,1;42;10,5;2,6
29/10/00;92,2;885,9;17,2;28;21,8;17,4;77;45;11,6;1,7
30/10/00;32,4;887;17,4;21,8;18,8;17,6;91,6;79;7,5;1,8
31/10/00;22,2;886,4;17,4;23,7;19,2;17;90,1;70;6;1,6
01/11/00;22,2;885,7;17,4;25,5;20,4;17,7;83,8;58;8,3;2,7
02/11/00;0;885;17,4;24,6;19,8;18,3;86,6;67;9,9;2,7
03/11/00;7,4;882,9;17,1;26,2;20,2;16,9;83,9;55;7,8;2,1
04/11/00;13;881,9;17,8;25,6;20,5;18;85,3;60;12,8;2,6
05/11/00;6,4;881;17,4;21,1;18,5;17,4;93,4;83;8;1,8
06/11/00;32;881,2;17,7;23,8;19,4;17,5;90;70;10,1;2,7
07/11/00;1,2;881,5;17,4;23,8;20,2;18,3;84,8;64;12,5;3,8
08/11/00;6,6;880,5;17,9;24,4;20;18;88,2;67;10,5;3,1
09/11/00;0;881,4;17;22,9;20;17,6;83,6;69;12,3;4
10/11/00;0;882;17,1;26,8;21,6;18,1;77,1;54;8,5;3,2
11/11/00;0;882;17,9;26,6;21,4;17,8;81,1;56;9,1;2,5
12/11/00;0;881,8;17,7;26,2;20,5;17,8;84,3;59;14,1;3,3
13/11/00;1,2;881,9;17,6;26,4;21,6;18,4;78,8;57;13;3,7
14/11/00;4,4;881,6;18,3;26,3;21;18,2;85,5;60;13,2;3,8
15/11/00;2,6;883,5;18,1;26,9;20,5;18,7;87,4;55;8,7;2,1
16/11/00;31,2;885;18,1;27;20,2;17,7;89;60;9;1,8
17/11/00;24,6;887,3;17,9;22,1;19,3;18;92,2;77;6,9;2,1
18/11/00;4;886,4;15,9;27,5;21,2;17;75;39;9,6;3,5
19/11/00;0;885,5;15,9;27,1;21,5;17,8;72;45;14,3;2,4
20/11/00;25,6;887,4;15,9;24,6;19,5;16,2;81;56;8;2,4
21/11/00;0;887,4;16,8;26;20,3;16,8;80,9;53;8,1;1,2
22/11/00;3,4;888,1;17;28,6;21,2;17,4;79,1;42;10,8;2,1
23/11/00;12,6;887,9;15,7;28,3;22,9;17;66,6;34;8,6;2,7
24/11/00;0;887;13;28,6;23,3;18,1;53,3;32;8,3;2,5
25/11/00;0;886,4;14,6;28,3;21,8;16,8;65,3;37;9,2;2,3
26/11/00;3;886,1;16,2;26,5;19,7;16,5;81,6;47;6,9;1,4
27/11/00;16,4;887,4;17,5;19,8;18,7;17,6;93,3;85;6,6;1,4
28/11/00;7,2;887,6;17,6;23,5;19,2;17,8;90,3;69;8,4;2,1
29/11/00;null;null;null;24,7;null;17,8;81,3;56;9,4;null
30/11/00;0,2;886,6;17,3;26,5;21,2;17,9;79,3;53;10,1;2,1
01/12/00;null;null;null;27,3;null;18,8;79,4;52;13,9;null
02/12/00;null;null;null;28,2;null;18,2;73,5;49;9,5;null
03/12/00;7,8;885,4;18,1;26;20,9;18,1;84,8;60;8,7;2,9
04/12/00;null;884,2;17,7;27,4;null;18,5;77;49;11,7;2,9
05/12/00;null;null;null;27,8;null;19,5;81,3;56;9,9;null
06/12/00;null;884,1;18,1;27;null;18,8;81,3;56;10;2,7
07/12/00;0,4;885,8;18,3;27,5;21,9;18,2;80,8;54;8,6;1,7
08/12/00;null;null;null;26,1;null;19,7;77,6;57;6,3;null
09/12/00;null;null;null;null;null;19;82,8;65;10,4;null
10/12/00;null;null;null;null;null;null;null;null;null;null
11/12/00;null;null;null;null;null;null;null;null;null;null
12/12/00;null;null;null;null;null;null;null;null;null;null
13/12/00;null;null;null;null;null;null;null;null;null;null
14/12/00;null;null;null;25,3;null;null;87,6;64;10;null
15/12/00;null;null;null;null;null;19,3;null;71;9,4;null
16/12/00;null;null;null;null;null;null;null;null;null;null
17/12/00;null;null;null;null;null;null;null;null;null;null
18/12/00;null;null;null;null;null;null;null;null;null;null
19/12/00;null;null;null;null;null;null;null;null;null;null
20/12/00;null;null;null;null;null;null;null;null;null;null
21/12/00;null;null;null;null;null;null;null;null;null;null
22/12/00;null;null;null;null;null;null;null;68;4,9;null
23/12/00;null;887,5;17,9;28,3;21,6;18,6;80,8;50;9,8;1,6
24/12/00;1,4;886,8;17;27,7;22,3;17,9;73,5;43;15,7;2,2
25/12/00;11,2;887,3;17,2;28,1;22,8;18,1;72,3;47;8,7;2,9
26/12/00;0,2;887,1;15,1;28,6;23,7;18,4;60,5;36;10,9;3,1
27/12/00;0;886,9;14,2;29,6;23,8;17,2;57,9;26;6,8;2,3
28/12/00;0;886,7;14,2;30,5;22,6;17,8;61,9;26;11,3;1,5
29/12/00;36,2;886,4;16,8;27,6;22,5;17,6;71,8;42;9,6;2,1
30/12/00;0;886,3;17,7;28,4;22;19,2;78;47;8,5;2,1
31/12/00;31,6;886;17,7;27,4;21,5;18;81,1;53;9;2,8
01/01/01;22,4;885,4;18,8;24,6;20,7;18,7;89,3;69;7,4;1,7
02/01/01;37,2;885,9;18,3;24,7;20,7;18,5;87;67;9;2,4
03/01/01;null;886,8;17,8;26,5;null;18,7;77,2;55;9;2,8
04/01/01;null;888,5;17,5;26,3;null;17,4;80,2;59;10,1;3
05/01/01;null;887,9;17;27,2;null;18,5;72,1;43;9,6;3,4
06/01/01;null;886,7;14,3;27,7;null;17,1;60,7;35;8,3;2,4
07/01/01;null;885,6;16,4;28,7;null;18,1;68,5;44;11;1,9
08/01/01;null;null;null;null;null;19;71,4;47;7,5;null
09/01/01;null;null;15,6;28,3;null;18,6;62,6;40;8,4;2,5
10/01/01;null;886,6;14,2;27,3;null;20;54,9;40;8,1;2,9
11/01/01;null;887,6;16,6;25;null;18,5;72,8;57;8,6;2,6
12/01/01;null;null;null;27,5;null;18,9;55,6;33;9,1;null
13/01/01;null;887,4;14,8;27,2;null;15,5;67,8;43;12,1;3
14/01/01;null;888,4;14,3;27,1;null;19,4;59,7;39;9,6;3,9
15/01/01;0;888;14,4;27,2;22;17,8;63;41;10,8;3,8
16/01/01;0;887,9;13,7;26,3;21,8;17,7;61,2;35;10,6;4,3
17/01/01;0;888,1;15;27,4;21,9;18,1;66;41;8,4;3,5
18/01/01;null;887,8;13,8;26,8;null;16,9;60,2;38;11,2;4
19/01/01;null;null;null;null;null;null;null;43;6,1;null
20/01/01;null;null;null;null;null;null;null;null;null;null
21/01/01;null;null;null;null;null;null;null;null;null;null
22/01/01;null;null;null;null;null;null;null;65;7,4;null
23/01/01;null;null;null;null;null;null;null;88;3,7;null
24/01/01;null;null;null;null;null;null;null;56;4,5;null
25/01/01;null;887,6;17,9;27,1;21,3;null;81,9;54;8,8;1,5
26/01/01;3,2;887,3;16,7;28,1;23;18;69,7;44;7,6;2,1
27/01/01;0;886,8;14,7;29,3;23,7;17,4;60,2;31;6,8;1,5
28/01/01;0;886,2;14,9;29,3;23,9;18,1;59,2;37;7,7;2
29/01/01;0;885,4;16,6;29,4;23,3;17,7;68,6;35;9,8;1,8
30/01/01;9,8;884,5;16;28,8;22,7;16,8;68,5;38;8,9;2,2
31/01/01;0;884,9;17,1;29,7;23,1;19,1;69,9;42;9,8;2,2
01/02/01;0;884,5;17,4;29;21,9;18,9;77,4;44;12,6;2,1
02/02/01;15;884,6;17,3;28,1;21,7;18;77,4;45;10,7;1,8
03/02/01;3;884,8;15,5;30,6;24,3;19,5;61,8;27;8,4;2,2
04/02/01;0;886,1;13,3;30,5;24,9;17,9;54;23;9;2,3
05/02/01;0;886,3;13,2;30,2;24,3;18,9;50,8;32;11,2;2
06/02/01;0;886;16,6;30,9;24,4;18;64,8;32;6,7;1,7
07/02/01;0;885,8;16,4;31;23,5;18;66,7;37;8,8;2,6
08/02/01;3,6;885,4;17;28,1;null;19,3;77,4;48;10,6;2,3
09/02/01;4,8;885,1;17,2;28,6;22;18,2;76,8;42;10,2;1,9
10/02/01;0,2;885,2;14,5;29,4;23,7;18,2;60,7;29;8,6;1,8
11/02/01;0;885,8;11,4;29,5;23,5;16,8;48,3;26;10,4;2,5
12/02/01;0;886,3;11,1;30,2;23,9;17,4;47;25;8,5;1,7
13/02/01;0;885,5;12;29,6;24,3;18,8;47,5;31;6,6;1,6
14/02/01;0;885,4;16,8;26,7;20,5;19;79,9;48;9,8;1,9
15/02/01;11;885,4;15,5;26,8;21;16,1;72,6;45;8,1;1,5
16/02/01;0,2;886,6;16,9;27,1;20,5;17,5;80,8;47;10,5;1,8
17/02/01;1,4;887,3;16,6;28,1;21,5;17,7;74,7;45;7,9;1,3
18/02/01;1,8;888,3;16,1;28,3;22,9;17,1;67,5;41;8,6;2,3
19/02/01;0;887,7;13,2;29;23,4;16,8;56,1;27;7,9;2
20/02/01;0;887;15,5;26,7;22,2;18,1;66,5;43;14,6;2
21/02/01;0,2;886,6;16,4;28,8;21,6;18,4;73,8;42;11,1;1,9
22/02/01;14,8;886,5;16,6;27,8;20,8;16,6;78,6;45;12,1;2,2
23/02/01;2,4;887;17;27,3;21,8;17,7;76;43;7,8;1,2
24/02/01;0,2;886,7;16,1;29,6;22,4;18;69,6;33;8,2;1,9
25/02/01;18,4;886,2;16,2;27,9;20,9;17,7;75,6;44;9,2;2,1
26/02/01;1,6;885,3;16,2;28,2;22,4;17,4;69,5;39;13,4;2,4
27/02/01;1,8;886,2;16,9;25,8;22,1;19,4;72,8;57;11,4;2,7
28/02/01;17,8;887,4;16,1;25,5;20;16,3;79,2;55;14,3;3
01/03/01;0;886,9;16,7;25,6;20,7;16,9;78,7;55;8;1,7
02/03/01;4,8;888,1;16,8;26,6;20,2;17,2;82,2;52;8,8;1,8
03/03/01;3,6;889;17,6;24,7;20;18,1;86,5;66;10,1;2,9
04/03/01;0,8;888,1;17,6;26,4;21,1;18,4;81,3;54;6;1,4
05/03/01;5;886,9;17,7;26,6;19,9;17,2;87,5;54;12,1;1,7
06/03/01;10,4;887,5;17;27;21,3;18,3;78,5;44;8,6;1,9
07/03/01;4,8;889,5;17,3;25,9;20,2;17,5;84,1;55;6,7;1,8
08/03/01;0;888,3;17;28,8;22,3;17,8;74,2;41;9,3;1,8
09/03/01;0;886,4;17;27,8;21,7;17,6;75,5;46;7;1,7
10/03/01;17,8;884,7;17,4;27,1;21,4;17,8;79,6;49;11,2;2,1
11/03/01;55,4;884,1;17,9;23;19,7;17,5;89,8;72;7;2,2
12/03/01;8,4;884,5;18;24,2;19,5;18,6;90,9;66;9,5;2,9
13/03/01;22,4;885,5;17,6;22,7;18,8;17,3;92,8;74;10;3,6
14/03/01;26;886,4;17;22,1;19,6;17,6;85,2;69;9,3;3,4
15/03/01;0,4;887,2;17;25,2;20,3;16;82;63;10,6;2,5
16/03/01;3,8;888,1;17;27;21,4;17,9;77,1;49;8,6;3
17/03/01;0,2;887,7;15;28;22,7;17,9;63,4;41;8,5;2,8
18/03/01;0;885,5;16,1;29,8;23,4;18,4;64,8;41;6,4;1,8
19/03/01;0,2;885,8;17,3;26,7;20,9;18,3;80,8;56;10,2;1,9
20/03/01;7,6;888,2;17,3;24,6;20,2;17;83,9;66;9,5;1,4
21/03/01;3,8;888,1;16;27,1;21,9;17;72,3;39;9,4;2,7
22/03/01;0;886,6;14,8;27,7;22;16,2;65,7;40;8,8;2,3
23/03/01;0;885,5;14,7;28,2;22,8;16,5;62,4;40;7,9;2,3
24/03/01;2;885,9;15,9;28;22,8;17,8;66,4;40;11,2;2,1
25/03/01;0;887,1;16;28,8;22,4;17,2;68,6;39;11,2;1,5
26/03/01;0;887;16,3;27,5;21,1;17,1;75,3;50;13,6;1,7
27/03/01;0;886,5;16,3;27,6;21,7;16,5;73,5;43;7,4;0,9
28/03/01;1;885,9;17,4;26,3;22;18,5;75,8;56;5,8;1,4
29/03/01;5,8;887,3;17,7;27,2;20,8;18,5;82,9;52;10;1,7
30/03/01;0,2;887,9;17,4;25,8;19,8;17,5;86,9;65;16,2;1,7
31/03/01;16,8;886,7;17;27,6;21,7;16,9;76,8;47;9,3;2,1
01/04/01;0;887;16,6;27,4;21,7;17,4;73,4;51;9,6;2,2
02/04/01;0;887,9;16,3;27,6;21,5;18,1;73,5;45;9,5;2
03/04/01;11;888,1;16,4;27,4;20,7;16,7;78,5;42;7,8;1,6
04/04/01;0,4;887,1;16,3;27,9;21,4;17,4;74,1;48;8,7;2,2
05/04/01;27,8;887,5;17;27,7;22;17,1;75,4;46;12,6;2,8
06/04/01;0;889;16;27,8;22,7;18,2;67;41;10;3,1
07/04/01;0;889,2;15,3;28,3;22,9;18,1;64,1;39;10,3;3,1
08/04/01;0;888,1;13,4;27,4;22,2;17,4;59,4;32;8,6;2,8
09/04/01;0;886,3;12,3;27,6;22,5;17,3;53,5;32;8,8;2,5
10/04/01;0;886,3;12,5;28,4;23,1;18,6;52,3;30;6,8;1,8
11/04/01;0;887,6;12,3;29,3;22,8;16,6;55;29;8,5;1,3
12/04/01;0;887,7;15,5;28,3;23,3;19,5;61,6;46;8,3;1,4
13/04/01;10,8;886,1;15,9;29,8;23,1;18,7;66,7;29;14,4;1,6
14/04/01;2,8;885,6;17,3;23,8;20,6;18,2;82,1;62;8,4;3,3
15/04/01;0;887,5;15,4;24,6;19,8;16,9;76,8;51;7,8;2,3
16/04/01;0;889,1;15,3;26,5;20,5;16;73,9;44;7,1;2,3
17/04/01;0;889;15,6;26,7;21,3;16,8;70,7;43;7,3;2,2
18/04/01;0;887,2;15;27,8;22;16,9;66,6;35;6,5;1,7
